join: [1, 0, [256, 0, [512, 1, 64], [16, 128], [446, 0, 0, 1]], []]
start: [1, 1, [256, 0, [512, 1, 64], [16, 128], [446, 0, 0, 1]], [0, [16, 128], [[[1, 0, [-48, -46], [0, 0], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [48, 46], [0, 0], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [446, 0, 0, 1]], [1, [16, 128], [[[1, 0, [-47, -46], [1, 0], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [47, 46], [-1, 0], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [446, 0, 0, 1]], [2, [16, 128], [[[1, 0, [-45, -46], [2, 0], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [45, 46], [-2, 0], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [446, 0, 0, 1]], [3, [16, 128], [[[1, 0, [-43, -45], [2, 1], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [43, 45], [-2, -1], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [446, 0, 0, 1]], [4, [16, 128], [[[1, 0, [-41, -43], [2, 2], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [41, 43], [-2, -2], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [446, 0, 0, 1]], [5, [16, 128], [[[1, 0, [-39, -40], [2, 3], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [39, 40], [-2, -3], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [446, 0, 0, 1]], [6, [16, 128], [[[1, 0, [-37, -36], [2, 4], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [37, 36], [-2, -4], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [446, 0, 0, 1]], [7, [16, 128], [[[1, 0, [-34, -32], [3, 4], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [34, 32], [-3, -4], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [446, 0, 0, 1]], [8, [16, 128], [[[1, 0, [-30, -28], [4, 4], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [30, 28], [-4, -4], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [446, 0, 0, 1]], [9, [16, 128], [[[1, 0, [-25, -24], [5, 4], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [25, 24], [-5, -4], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [446, 0, 0, 1]], [10, [16, 128], [[[1, 0, [-19, -20], [6, 4], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [19, 20], [-6, -4], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 2, [256, 0, [512, 1, 64], [16, 128], [446, 0, 0, 1]], [11, [16, 128], [[[1, 0, [-13, -15], [6, 5], [0, 0, 0, 0], 0, 64, 1], []], [[0, 1, [13, 15], [-6, -5], [0, 0, 0, 0], 0, 64, 1], []]]]]
